Index,Image,Labels,Predictions,Data Specialist's Note,Data Specialist,Data Assessment Date,Model used
0,antenna6.0004.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
1,antenna6.0020.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
2,antenna6.0066.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
3,antenna6.0059.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
4,antenna6.0060.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
5,antenna6.0049.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
6,antenna6.0067.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
7,antenna6.0019.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
8,antenna6.0025.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
9,antenna6.0028.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
10,antenna6.0053.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
11,antenna6.0008.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
12,antenna6.0065.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
13,antenna6.0050.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
14,antenna6.0015.s.gif,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.,Optimizer:Adam&loss:mse&samplesize:512&epochs:31&learningrate:0.001&batchsize:16&pixelsize:32&time:2022-08-14:09:10:45&threshold_perc:75&threshold_value:0.01109
