Index,Image,Labels,Predictions,Data Specialist's Note,Data Specialist,Data Assessment Date
0,ICLISTENHF1350_20191002T101703.000Z-spect.png,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.
1,ICLISTENHF1350_20191003T190703.000Z-spect.png,True,True,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.
2,ICLISTENHF1350_20191004T045703.000Z-spect.png,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.
3,ICLISTENHF1350_20191001T024703.000Z-spect.png,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.
4,ICLISTENHF1350_20191003T064703.000Z-spect.png,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.
5,ICLISTENHF1350_20191003T192703.000Z-spect.png,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.
6,ICLISTENHF1350_20191004T085203.000Z-spect.png,True,True,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.
7,ICLISTENHF1350_20191001T194704.000Z-spect.png,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.
8,ICLISTENHF1350_20191003T150204.000Z-spect.png,True,True,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.
9,ICLISTENHF1350_20191002T025204.000Z-spect.png,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.
10,ICLISTENHF1350_20191002T102703.000Z-spect.png,True,True,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.
11,ICLISTENHF1350_20191001T071203.000Z-spect.png,True,True,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.
12,ICLISTENHF1350_20191003T041703.000Z-spect.png,True,True,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.
13,ICLISTENHF1350_20191002T070704.000Z-spect.png,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.
14,ICLISTENHF1350_20191004T024203.000Z-spect.png,True,False,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.
15,ICLISTENHF1350_20191001T170204.000Z-spect.png,True,True,Click here to add your note.,Click here to add your name.,Click here to add date in format YYYY-MM-DD.
