loss,loss_v,anomalous_test_data_loss
0.33929208,0.34813157,0.3247054
0.339515,0.3364391,0.3247708
0.3460137,0.34409913,0.3247967
0.34653926,,0.3252193
0.3361567,,0.32466698
0.34005257,,0.32534495
0.33130255,,0.32465455
0.33468518,,0.32473764
0.33679035,,0.32501847
0.333388,,0.3247485
0.33601192,,0.32544252
0.35053515,,0.32557157
0.3508937,,0.32482335
,,0.32545218
,,0.3247842
,,0.32560948
,,0.32327512
,,0.32468563
,,0.3252739
,,0.32513452
,,0.32561675
,,0.32517445
,,0.32513407
,,0.3247228
,,0.3252444
,,0.3247032
,,0.32529178
,,0.32555345
,,0.3248582
,,0.32542026
,,0.32542434
,,0.32539287
,,0.3257598
,,0.32472435
,,0.3247511
,,0.3254534
,,0.32528844
,,0.32480523
,,0.32491165
,,0.3253114
,,0.3253509
,,0.32477823
,,0.32332876
,,0.3253864
,,0.32527813
,,0.3252642
,,0.32524624
,,0.3249785
,,0.3254951
,,0.3252668
,,0.32522762
,,0.3246876
,,0.32529536
,,0.3247966
,,0.32530755
,,0.32535437
,,0.3252988
,,0.32467112
,,0.32522547
,,0.32467744
,,0.32467225
,,0.32449353
,,0.3247309
,,0.32506084
,,0.32463333
,,0.3254788
,,0.3255603
,,0.32523507
,,0.32526484
,,0.3233883
